date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:20	98484/98484	---MCZ	200	added ('OK')	text/html	etag:W/%2236270eea0ff9a09f9d615321dbb2736c%22	https://demo.hasthemes.com/flone-preview/flone/index.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index.html	(from )
21:22:21	220/220	---MCZ	403	error ('Forbidden')	application/xml	date:Wed,%2011%20Jan%202023%2015:22:21%20GMT	https://demo.hasthemes.com/robots.txt		(from )
21:22:21	2106/2106	---M--	200	added ('OK')	image/png	etag:%22a1dc2c12608cca0d98ccf27862327a5d%22	https://demo.hasthemes.com/flone-preview/flone/assets/img/favicon.png	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/img/favicon.png	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:24	37273/37273	---MCZ	200	added ('OK')	text/css	etag:W/%220b72fac274221acc548f13205842ef4f%22	https://demo.hasthemes.com/flone-preview/flone/assets/css/icons.min.css	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/css/icons.min.css	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:24	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%2290653b7fec5bd1c14b9101905faac64a%22	https://demo.hasthemes.com/flone-preview/flone/assets/css/bootstrap.min.css	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/css/bootstrap.min.css	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:26	57778/57778	---MCZ	200	added ('OK')	text/css	etag:W/%22df4ef27577ce156175033a3754a36498%22	https://demo.hasthemes.com/flone-preview/flone/assets/css/plugins.css	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/css/plugins.css	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:27	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da941a6e1e1df098744318f6d25ba13a%22	https://demo.hasthemes.com/flone-preview/flone/assets/js/vendor/modernizr-2.8.3.min.js	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/js/vendor/modernizr-2.8.3.min.js	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:27	375259/375259	---MCZ	200	added ('OK')	text/css	etag:W/%22c672c0b70d2ba93645d38362e4d18e52%22	https://demo.hasthemes.com/flone-preview/flone/assets/css/style.css	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/css/style.css	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:27	512/512	---M--	200	added ('OK')	image/png	etag:%222434977ddf1d82a48be1f59348e6c97c%22	https://demo.hasthemes.com/flone-preview/flone/assets/img/logo/logo.png	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/assets/img/logo/logo.png	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:30	89437/89437	---MCZ	200	added ('OK')	text/html	etag:W/%22d8b7a46e9bb17e1fc6515034aee022b0%22	https://demo.hasthemes.com/flone-preview/flone/index-2.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-2.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:31	60760/60760	---MCZ	200	added ('OK')	text/html	etag:W/%22ad8611f3433b1f43bcced1ac1aaec83e%22	https://demo.hasthemes.com/flone-preview/flone/index-3.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-3.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:32	114669/114669	---MCZ	200	added ('OK')	text/html	etag:W/%22cc78cf39f963d777baff6c0f38cd7331%22	https://demo.hasthemes.com/flone-preview/flone/index-4.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-4.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:33	50747/50747	---MCZ	200	added ('OK')	text/html	etag:W/%229077818817d03262c0a94fa03b7e172f%22	https://demo.hasthemes.com/flone-preview/flone/index-5.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-5.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:33	42835/42835	---MCZ	200	added ('OK')	text/html	etag:W/%222c771c16e6375799fa860b94411102b3%22	https://demo.hasthemes.com/flone-preview/flone/index-6.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-6.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:35	92200/92200	---MCZ	200	added ('OK')	text/html	etag:W/%22ef28a30a025d48e5268ec81265704af7%22	https://demo.hasthemes.com/flone-preview/flone/index-7.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-7.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:36	95889/95889	---MCZ	200	added ('OK')	text/html	etag:W/%22844354516e09e5d1dbebb0fe46fa899f%22	https://demo.hasthemes.com/flone-preview/flone/index-8.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-8.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:37	104258/104258	---MCZ	200	added ('OK')	text/html	etag:W/%22c566a8fb5e2b9af05639a2e28d613666%22	https://demo.hasthemes.com/flone-preview/flone/index-9.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-9.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:38	95873/95873	---MCZ	200	added ('OK')	text/html	etag:W/%229d31fb2537dbb1ceb66dd9cfb998a5d8%22	https://demo.hasthemes.com/flone-preview/flone/index-10.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-10.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:38	33166/33166	---MCZ	200	added ('OK')	text/html	etag:W/%22625bb1e6e369612a869508756e587975%22	https://demo.hasthemes.com/flone-preview/flone/index-11.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-11.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:40	100697/100697	---MCZ	200	added ('OK')	text/html	etag:W/%228e7de5f78d35e2f09449eccd216d4d76%22	https://demo.hasthemes.com/flone-preview/flone/index-12.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-12.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
21:22:41	93334/93334	---MCZ	200	added ('OK')	text/html	etag:W/%22e97e4cbc2717c3fa6fef46239eb9c680%22	https://demo.hasthemes.com/flone-preview/flone/index-13.html	https://demo.hasthemes.com/flone-preview/flone/index.html/flone/demo.hasthemes.com/flone-preview/flone/index-13.html	(from https://demo.hasthemes.com/flone-preview/flone/index.html)
